Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Circadian Technologies GmbH,Aug 2021,"Berlin, Berlin, Germany","Energy Management, Internet of Things,",11-50,2,"€1,600,000",Seed,"Oct 18, 2023","€1,250,000",7,1,Accelerating the energy transition by transforming decentralized energy for businesses in frontier markets
TravelPlaylist - Travel Social Media,"Jan 1, 2020","Berlin, Berlin, Germany",Software,1-10,3,"$6,000,000",Seed,"Nov 4, 2021","$3,000,000",4,—,Social Media
DISS-CO,"Dec 1, 2021","Wedel, Niedersachsen, Germany","Artificial Intelligence (AI), Blockchain,,,,,",11-50,2,"€1,030,000",Seed,"Oct 21, 2024",—,4,—,"B2B SaaS Compliance, ESG and Risk Management"
Hivebuy,Feb 2021,"Berlin, Berlin, Germany","Business Development, Procurement,,",11-50,3,"€1,500,000",Seed,"Jun 1, 2023",—,3,—,Hivebuy assists small and medium-sized businesses in streamlining their internal purchasing and ordering processes.
3D Spark,2021,"Hamburg, Hamburg, Germany","3D Printing, Manufacturing, SaaS,",1-10,3,"€1,500,000",Seed,"May 23, 2023","€1,200,000",3,5,"SaaS platform to identify those parts that can be produced cheaper, faster, better, or more sustainably by means of 3D printing."
Lhotse,2020,"Berlin, Berlin, Germany","Enterprise Software, Information Technology,,",11-50,1,"€5,000,000",Seed,"Sep 13, 2021","€5,000,000",7,4,Lhotse is an intuitive SaaS platform that automates and simplifies procurement
Dwinity,2023,"Gräfelfing, Bayern, Germany","Blockchain, Decentralized Finance (DeFi),",11-50,1,"$2,400,000",Seed,"Apr 30, 2024","$2,400,000",—,1,Dwinity is a Web3 operating system for sensitive Data & Decentralized AI.
Mindsurance,"Dec 12, 2020","Berlin, Berlin, Germany","Health Care, Mental Health, Software",11-50,2,"$1,200,000",Seed,"Sep 25, 2023",—,8,2,Mindsurance is a digital mental healthcare platform.
Rail-Flow,2020,"Frankfurt, Hessen, Germany","Information Technology, Software,",51-100,1,"€3,600,000",Seed,"May 8, 2023","€3,600,000",5,—,Rail-Flow is a developer and operator of a digital ecosystem consisting of a platform and software service solutions.
Lilio,2020,"Munich, Bayern, Germany","Information Services, Manufacturing,",11-50,1,"€2,200,000",Seed,"Nov 20, 2023","€2,200,000",9,—,Lilio provides feedback on the baby's well-being regardless of day and night.
KNOWRON,2020,"München, Bayern, Germany","Artificial Intelligence (AI), Internet,,",11-50,2,"€1,800,000",Seed,"Nov 8, 2022","€1,800,000",3,1,Knowron empowers service technicians with their tasks through AI.
Fleming,"Dec 4, 2020","Berlin, Berlin, Germany","Artificial Intelligence (AI), Banking,,,",11-50,3,"€2,750,000",Seed,"Jul 1, 2024","€1,400,000",—,4,"Fleming: finance & banking for healthcare pros—digital investment & working capital loans, plus a suite (account, card, POS, MoneyMarket)."
EqualTo,"Feb 1, 2020","Berlin, Berlin, Germany","Developer Tools, Information Technology,",1-10,3,"€4,530,000",Seed,"Jun 10, 2021","€3,500,000",11,1,Spreadsheet tooling for the modern stack.
Alpakas,2021,"Berlin, Berlin, Germany","E-Commerce, Food and Beverage,,,,,,",101-250,1,"€5,000,000",Seed,"Feb 16, 2022","€5,000,000",6,—,Alpakas is a zero waste grocery delivery service.
Equipme,2021,"Frankfurt, Hessen, Germany","Information Technology, Internet,",11-50,1,"$3,800,000",Seed,"Apr 17, 2023","$3,800,000",6,—,Equipme is developing the B2B subscription economy's operating system.
CURE,"Oct 30, 2020","Berlin, Berlin, Germany","Accounting, Banking, Billing, Finance,,,",1-10,1,"€1,400,000",Seed,"Oct 11, 2021","€1,400,000",3,3,CURE - Digital Banking for Health Professionals
Sizekick,Aug 2022,"Munich, Bayern, Germany","Artificial Intelligence (AI), E-Commerce,",11-50,1,"€1,300,000",Seed,"Nov 18, 2022","€1,300,000",1,3,Sizekick uses AI and computer vision technology to reduce returns in fashion e-commerce.
GovRadar,"Mar 2, 2020","Munich, Bayern, Germany","GovTech, SaaS, Software",11-50,2,"€1,705,000",Seed,"Apr 24, 2023","€1,000,000",5,—,SaaS platform to simplify and accelerate public procurement
Logistikbude,"Oct 28, 2021","Dortmund, Nordrhein-Westfalen,",Software,1-10,2,"€2,200,000",Seed,"Aug 31, 2023","€2,200,000",5,—,SaaS solution enabling production & logistics to automate the management of load carriers
Hubtic,2021,"Düsseldorf, Nordrhein-Westfalen,","Freight Service, Logistics, Shipping,,",11-50,1,"$1,300,000",Seed,"Mar 23, 2023","$1,300,000",3,—,"Digital forwarder, helping companies to deliver their goods easier, faster and smarter."
GauVendi,"May 8, 2020","Frankfurt, Hessen, Germany","Hospitality, Information Technology,",11-50,1,"€1,000,000",Seed,"May 7, 2024","€1,000,000",—,3,GauVendi is an End-To_end Sales System including AI-powered booking technology and revenue automation for the hospitality industry.
randevu.tech,"Jun 28, 2021","Berlin, Berlin, Germany","B2B, Developer Platform, E-Commerce Platforms,,,,,,",11-50,3,"$441,873",Seed,"Dec 7, 2023","$325,000",4,2,randevu.tech is the headless cloud infrastructure that enables B2B digital platforms & marketplaces with custom & complex customer journey’s
elvah,2020,"Grafschaft, Niedersachsen, Germany","Charging Infrastructure, Electric Vehicle,",11-50,2,"€3,200,000",Seed,"Aug 11, 2022",—,5,3,"elvah helps find working and suitable EV charging stations, thanks to live data and community feedback."
Swaarm,"Sep 1, 2020","Berlin, Berlin, Germany","Affiliate Marketing, Digital Marketing,,,,",11-50,3,"€800,000",Seed,"Aug 1, 2022",—,1,21,SaaS Performance Marketing Tracking Platform
Wonder,2020,"Berlin, Berlin, Germany","Meeting Software, Social Media,",11-50,2,"$12,200,000",Seed,"Dec 7, 2020","$11,000,000",2,—,Wonder is a virtual space where people can meet and talk.
eduBITES,2021,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Corporate Training,",1-10,1,"€2,100,000",Seed,"Feb 21, 2023","€2,100,000",4,1,eduBITES is an online learning platform for organization.
enverx,"Apr 14, 2022","München, Bayern, Germany","Blockchain, Financial Services,,,,",11-50,1,"€1,000,000",Seed,"Apr 13, 2023","€1,000,000",2,—,"Multi-commodity financing, trading, and escrow management fintech solution, leveraging blockchain technology for trust & transparency."
cureVision,"Mar 25, 2021","Munich, Bayern, Germany","Artificial Intelligence (AI), Health Care,,,",11-50,3,"$2,886,322",Seed,"Mar 28, 2024","$1,100,000",3,—,"AI-based medical imaging and diagnostic solutions for vascular surgeons and care staff, specialist for chronic wounds"
Qubinets,2022,"Nürnberg, Bayern, Germany","Analytics, Artificial Intelligence (AI),",11-50,2,"€1,600,000",Seed,"Jul 12, 2023","€1,100,000",2,—,"Qubinets is a software firm that offers big data architecture, ML/AI Operations, and training services."
consalio,2021,"Düsseldorf, Nordrhein-Westfalen,","Information Technology, Software",11-50,2,"€2,400,000",Seed,"Jul 11, 2023","€1,200,000",11,1,consalio is an advisor spend management solution company.
SupplyET,"Jan 5, 2022","Hamburg, Hamburg, Germany","Enterprise Software, Information Technology,,,,",1-10,4,"€526,785",Seed,"Apr 17, 2024","€342,500",5,—,"SupplyET enables manufacturers to plan, simulate, and optimize production networks with visual, AI-powered plug-and-play software"
DeepSkill,"Apr 20, 2020","Köln, Nordrhein-Westfalen, Germany","E-Learning, Personal Development,",11-50,3,"€1,500,000",Seed,"Jun 5, 2024","€1,500,000",9,—,DeepSkill is a digital platform for holistic personnel development.
Lyntics,2021,"München, Bayern, Germany","Analytics, Data Center, Developer Platform,",11-50,1,"€3,200,000",Seed,"Apr 5, 2022","€3,200,000",3,1,Lyntics is a software company that offers a data literacy platform.
autoRetouch,"Jan 31, 2020","Stuttgart, Baden-Wurttemberg,","Artificial Intelligence (AI), E-Commerce,,,,,,",11-50,1,"€3,200,000",Seed,"Jan 26, 2021","€3,200,000",1,—,autoRetouch is the AI-powered image editing platform.
ImpactNexus,2021,"Berlin, Berlin, Germany","Information Services, Information Technology,",11-50,1,"€800,000",Seed,"Oct 26, 2022","€800,000",3,—,"ImpactNexus offers SaaS solutions to assess, improve and report sustainability impacts & ESG-performance for startups and their supporters."
Veli,2023,"Kassel, Hessen, Germany","Intelligent Systems, Manufacturing",1-10,1,"€800,000",Seed,"Nov 11, 2024","€800,000",4,—,Veli manufacturing system and monitors household utilities for irregularities.
Infinite Devices,"May 1, 2020","Magdeburg, Sachsen-Anhalt, Germany","Facility Management, Information Technology,,",11-50,2,"€1,460,000",Seed,"May 27, 2020","€1,450,000",4,22,Smart facility management
networkx,"Jul 5, 2022","Frankfurt, Hessen, Germany","Artificial Intelligence (AI), Boating,,,,,",11-50,1,"$610,000",Seed,"Feb 17, 2023","$610,000",—,9,"networkx is an AI-based platform that prequalifies and matches innovators, visionaries, and changemakers with exclusive clubs worldwide."
ModuGen,"Oct 15, 2020","Kehl, Baden-Wurttemberg, Germany","Civil Engineering, Construction,",11-50,2,"€1,330,000",Seed,"Apr 19, 2022","€1,200,000",—,—,"Software based Services, SaaS"
MVP Match,Jan 2020,"Berlin, Berlin, Germany","Product Management, Software,",11-50,2,"€5,000,000",Seed,"Sep 15, 2022","€5,000,000",1,1,MVP Match connects freelance tech professionals with companies to solve challenging problems and create amazing digital products.
ScaleNC,"Aug 28, 2020","Stuttgart, Baden-Wurttemberg,","CAD, Cloud Computing, Industrial Manufacturing,,,,,",1-10,1,"€4,000,000",Seed,"Jul 20, 2022","€4,000,000",1,1,ScaleNC is a B2B start-up that offers on-demand services for sheet metal manufacturing on a cloud platform.
Samdock,Jan 2020,"Munich, Bayern, Germany","Apps, CRM, Machine Learning,,,,",11-50,1,"€1,500,000",Seed,"Feb 1, 2020","€1,500,000",1,1,"Samdock is a SaaS vendor for Sales Automation, Lead Management and CRM focused on the SMB market"
BACE,"Apr 28, 2023","Dortmund, Nordrhein-Westfalen,","Business Development, Hardware,,,,,,",1-10,1,"€1,320,000",Seed,"Nov 15, 2023","€1,320,000",4,—,"BACE's mission is to become a logistics service and provide expanded service interfaces for all retailers, locals, logistics & end users."
Mateo,Jan 2021,"Berlin, Berlin, Germany","CRM, Customer Service",11-50,2,"€240,000",Seed,"Jun 5, 2024",—,3,—,Mateo is the omni-channel customer experience powerhouse that enables local brands and businesses to drive more growth
Yoffix,Dec 2020,"Berlin, Berlin, Germany","Human Resources, SaaS, Software",11-50,1,"€550,000",Seed,"May 19, 2022","€550,000",1,2,Hybrid work platform and solution.
Explory,"Aug 17, 2023","Berlin, Berlin, Germany","Mobile Advertising, Mobile Apps,,,",1-10,2,"€150,000",Seed,"Oct 1, 2024",—,3,—,"Mobile App offering interactive, gamified city exploration experiences for tourists and locals."
Louco,"May 25, 2021","Frankfurt, Hessen, Germany","Apps, Artificial Intelligence (AI),,,,,",—,1,"€1,500,000",Seed,"Aug 7, 2024","€1,500,000",—,1,Louco is the first AI-powered platform transforming event discovery with personalized suggestions based on users preferences & interests.
ROQ Technology,Aug 2020,"Berlin, Berlin, Germany","Information Technology, Software,,,",11-50,1,"$10,000,000",Seed,"Jun 14, 2021","$10,000,000",1,—,ROQ Technology provides functional UI components and APIs for all critical features required to build the web application.
jooli.com,"Mar 1, 2021","Berlin, Berlin, Germany","Apps, E-Commerce, Retail, Software",11-50,3,"€2,500,000",Seed,"Jan 1, 2023","€1,200,000",—,—,jooli.com is a video shopping app that offers retailers individual advice.
READO,"Jun 1, 2020","Frankfurt, Hessen, Germany","Artificial Intelligence (AI), B2C,,,,,",11-50,2,"€640,000",Seed,"Feb 22, 2023","€500,000",—,—,READO is the app to help readers find their next book.
truemetrics,2021,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Enterprise Software,,,",1-10,2,"€25,000",Seed,"Jul 1, 2023",—,2,—,truemetrics helps logistics companies find customers faster. Our technology maps entrances via a courier's handheld device.
Laya Technologies,Feb 2020,"Munich, Bayern, Germany","Artificial Intelligence (AI), Information Technology,",1-10,1,"€4,000,000",Seed,"Jun 23, 2021","€4,000,000",—,—,"Laya enables dynamic, fully automated vacation packages for travel brands."
headful,"May 14, 2020","Berlin, Berlin, Germany","Content Marketing, CRM, Lead Management,,",11-50,2,"€600,000",Seed,"Apr 1, 2024","€500,000",—,—,"Saas, CRM, Sales and Service Communication Platform"
Acapela,"Sep 1, 2020","Berlin, Berlin, Germany","Email, Real Time, Web Apps",11-50,1,"$3,000,000",Seed,"Oct 22, 2020","$3,000,000",3,1,"Acapela lets you take control of your notifications. Capture, filter and action them all from one place. Unblock your team twice as fast."
Vaayu,2021,"Berlin, Berlin, Germany","CleanTech, Green Consumer Goods,,",51-100,2,"$13,100,000",Seed,"Apr 20, 2022","$11,500,000",10,5,Software that helps retailers track and cut carbon in real-time.
Seqstant,2021,"Teltow, Brandenburg, Germany","Information Technology, Software",1-10,1,"€1,800,000",Seed,"Nov 5, 2023","€1,800,000",4,—,"Seqstant offers real-time pathogen analysis, allowing for sensitive, specific, and user-friendly real-time genetic diagnostics."
Climatiq,2021,"Berlin, Berlin, Germany","CleanTech, Developer APIs, Enterprise Software,,",11-50,2,"$7,832,899",Seed,"Oct 14, 2022","€6,000,000",3,16,Build climate intelligent solutions powered by smart data
Timecho,2021,"Stuttgart, Baden-Wurttemberg,","Analytics, Data Storage, Internet of Things",11-50,1,"$10,000,000",Seed,"Jun 29, 2022","$10,000,000",4,—,Timecho is an IoT-native time series database.
DIDIT,"Feb 1, 2020","Berlin, Berlin, Germany","Mobile Payments, Payments, Restaurants",11-50,2,"€4,000,000",Seed,"Aug 15, 2021","€2,000,000",6,—,Pay at restaurants whenever and whoever you want - in just 15 seconds.
clous,"Jan 6, 2020","Berlin, Berlin, Germany",Software,11-50,5,"€825,000",Seed,"Nov 15, 2022",—,7,2,clous is the platform for the implementation of individual workflows for the automated conversion and analysis of engineering data.
Orthogonal,Apr 2021,"Munich, Bayern, Germany",Software,11-50,2,"$4,500,000",Seed,"Aug 7, 2023","$3,500,000",3,—,We're a leading tool vendor offering specialized software and hardware solutions tailored for spatial computing-based product design.
Hyrise Academy,2020,"Berlin, Berlin, Germany","E-Learning, Education",1-10,2,"€750,000",Seed,"Sep 20, 2022","€750,000",5,—,Hyrise Academy is an online learning site for careers in tech sales.
Bringman,2020,"Offenburg, Baden-Wurttemberg,","Apps, Delivery, Food Delivery,",11-50,1,"€1,000,000",Seed,"Nov 29, 2021","€1,000,000",1,—,Bringman purchases goods in Edeka stores and delivers them to the doorstep.
VIZTA DGTL,2023,"Berlin, Berlin, Germany","Cryptocurrency, Gaming, Non-Fungible Token (NFT),",1-10,1,"€1,500,000",Seed,"Oct 18, 2024","€1,500,000",4,—,VIZTA is an innovative gaming studio at the forefront of significant technology shifts and increasing demands from new generations.
_blaenk,Oct 2020,"Cologne, Nordrhein-Westfalen,","Advertising, Cloud Data Services,,,",11-50,2,"$1,733,349",Seed,"Jul 1, 2021","$560,000",5,—,The the leading Omnichannel RetailTech Startup in Europe.
Fanzone Media,2020,"Berlin, Berlin, Germany","Blockchain, Cryptocurrency, Media and Entertainment,",11-50,3,"$75,000",Seed,"Feb 24, 2023","$75,000",2,—,Fanzone Media is a fan engagement platform with digital trading cards.
UniApp,"Dec 3, 2020","Frankfurt, Hessen, Germany","EdTech, Education, Higher Education",11-50,1,"€1,000,000",Seed,"May 2, 2022","€1,000,000",—,5,UniApp is an EdTech Empowering International Education
CO2OPT,"Jan 24, 2022","Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Information Technology,,",1-10,2,"€150,000",Seed,"Jun 6, 2023",—,7,19,AI driven platform for tire management in the logistics industry
xito.one,2020,"Ulm, Baden-Wurttemberg, Germany",Robotics,11-50,2,"€1,600,000",Seed,"Feb 21, 2024","€1,600,000",3,1,XITO is a manufacturer of the marketplace for automation through robotics.
